C#_MPF Go_MPF Java_MPF JS_MPF PHP_MPF PY_MPF Ruby_MPF 0 Go_MRSS Java_MRSS JS_MRSS PHP_MRSS PY_MRSS Ruby_MRSS 0 Go_VCS Java_VCS JS_VCS PHP_VCS PY_VCS Ruby_VCS
0 35427 15064 17743 5934 2279 17238 0 93814 66836 79028 34867 17812 12724 0 78392 180201 88 48 84620 20280
0 35502 15362 17776 5229 2270 17245 0 93774 66612 79112 34867 17836 12428 0 78402 180243 84 46 84579 20225
0 35335 15364 17964 5815 2281 17235 0 93806 66084 79424 34867 17704 12444 0 78758 180913 87 44 84520 20284
0 35389 15206 17887 5020 2284 17235 0 93784 66312 79056 34867 17932 12740 0 78119 180493 83 46 84674 20283
0 35438 15971 17985 5089 2282 17245 0 93798 66248 79832 34867 17760 12724 0 78387 180727 85 48 84628 20297
0 35108 15349 17788 5985 2286 17244 0 93786 66852 79068 34867 17536 12684 0 78381 180612 82 47 84527 20281
0 35797 15842 17970 5147 2279 17241 0 93790 66732 79352 34867 17580 12728 0 78344 180520 84 47 84675 20296
0 35322 15405 17732 5487 2281 17254 0 93788 66520 79992 34867 17680 12404 0 78204 180766 89 41 84477 20290
0 35850 15735 17815 5803 2281 17249 0 93782 66708 79056 34867 17740 12564 0 78765 180578 83 43 84620 20284
0 35202 15607 17468 5997 2276 17245 0 93796 66092 79664 34867 17712 12604 0 78338 180619 83 42 84273 20283
0 35742 15493 17827 5176 2276 17245 0 93774 66748 79380 34867 17840 12540 0 78611 180497 86 40 84751 20291
